feature,hr,ci_lower,ci_upper,z,p,n,events,q
disp_H08_kde_summary,0.9713859567710839,0.8105583620287836,1.164124289150898,-0.314366542626254,0.7532426641067335,200,112,0.9973126457678482
dist_H08_H08,1.02877529674514,0.8566667753017834,1.2354612571734314,0.30371291505956804,0.7613466177249734,200,112,0.9973126457678482
disp_H08_g_function,1.02877529674514,0.8566667753017834,1.2354612571734314,0.30371291505956804,0.7613466177249734,200,112,0.9973126457678482
disp_H07_clark_evans,0.9736489407176575,0.8190836616375289,1.1573814790364283,-0.30277921242595474,0.7620581263465268,200,112,0.9973126457678482
disp_H08_ripley_k,0.9704116922615142,0.7916038990238349,1.18960865862221,-0.2890478258369751,0.7725447790561291,200,112,0.9973126457678482
dist_H02_H06,1.028366255618774,0.8406097277220972,1.2580596212717112,0.27194013088819313,0.7856680535864103,200,112,0.9973126457678482
disp_H06_kde_summary,0.9767540986607532,0.8118028212076089,1.1752220420118422,-0.24921435824369462,0.8031949734784103,200,112,0.9973126457678482
disp_H10_ripley_l,0.9769916597434165,0.8085997105744478,1.1804514529569743,-0.24116619757254418,0.8094263082058393,200,112,0.9973126457678482
disp_H06_clark_evans,0.9801889652744343,0.8299525589242555,1.1576208752113137,-0.2357220697283114,0.813648343243486,200,112,0.9973126457678482
disp_H07_f_function,1.019485491448584,0.8576025053055114,1.2119258757341242,0.21874363816451925,0.8268497537244881,200,112,0.9973126457678482
disp_H10_clark_evans,1.0190317278827925,0.8565411288044825,1.212347694127861,0.2127216162236906,0.8315441053159113,200,112,0.9973126457678482
inter_H05_H06,0.9801074535056125,0.8125108257471968,1.182274241741782,-0.20999873577450714,0.8336686597427063,200,112,0.9973126457678482
inter_H06_H05,0.9801074535056125,0.8125108257471968,1.182274241741782,-0.20999873577450714,0.8336686597427063,200,112,0.9973126457678482
disp_H07_ripley_l,0.9805023774188835,0.8155382409371248,1.1788348649590816,-0.2094928847960998,0.8340634892724708,200,112,0.9973126457678482
inter_H03_H10,1.0176623569063081,0.8568543108341062,1.2086496614062194,0.1995134135866487,0.8418611517483833,200,112,0.9973126457678482
